62.50464,10.32738
56.82895,5.08003
53.22897,8.83199
50.32355,5.03266
47.92739,7.70583
45.91085,4.97195
44.18397,6.88835
42.67619,4.91058
41.33798,6.27391
40.13056,4.83336
39.02659,5.79427
38.00453,4.73717
37.04917,5.40663
36.14839,4.62435
35.29360,5.08361
34.47784,4.49901
33.69612,4.80727
32.94435,4.36537
32.21952,4.56560
31.51911,4.22709
30.84123,4.35038
30.18422,4.08707
29.54683,4.15588
28.92791,3.94750
28.32656,3.97801
27.74191,3.80998
27.17328,3.81381
26.62000,3.67561
26.08150,3.66109
25.55724,3.54512
25.04672,3.51821
24.54948,3.41896
24.06510,3.38390
23.59316,3.29738
23.13328,3.25719
22.68510,3.18050
22.24826,3.13731
21.82244,3.06832
21.40731,3.02362
21.00256,2.96079
20.60792,2.91562
20.22308,2.85778
19.84779,2.81286
19.48178,2.75917
19.12479,2.71498
18.77658,2.66480
18.43692,2.62166
18.10558,2.57450
17.78234,2.53262
17.46698,2.48812
17.15931,2.44761
16.85911,2.40547
16.56620,2.36641
16.28039,2.32639
16.00150,2.28880
15.72935,2.25074
15.46377,2.21460
15.20460,2.17834
14.95168,2.14365
14.70485,2.10906
14.46396,2.07577
14.22886,2.04274
13.99941,2.01082
13.77547,1.97927
13.55692,1.94867
13.34361,1.91850
13.13542,1.88918
12.93223,1.86032
12.73392,1.83222
12.54037,1.80461
12.35146,1.77769
12.16709,1.75127
11.98716,1.72548
11.81154,1.70018
11.64015,1.67547
11.47288,1.65125
11.30964,1.62759
11.15033,1.60439
10.99486,1.58172
10.84314,1.55951
10.69508,1.53779
10.55060,1.51651
10.40961,1.49570
10.27203,1.47533
10.13778,1.45539
10.00679,1.43587
9.87898,1.41678
9.75427,1.39808
9.63260,1.37978
9.51389,1.36187
9.39807,1.34434
9.28508,1.32719
9.17485,1.31039
9.06731,1.29395
8.96241,1.27786
8.86008,1.26211
8.76026,1.24670
8.66290,1.23161
8.56793,1.21684
8.47529,1.20239
8.38495,1.18823
8.29683,1.17438
8.21090,1.16082
8.12709,1.14755
8.04536,1.13456
7.96566,1.12185
7.88793,1.10940
7.81215,1.09721
7.73824,1.08528
7.66619,1.07361
7.59593,1.06218
7.52743,1.05099
7.46064,1.04004
7.39552,1.02931
7.33204,1.01882
7.27016,1.00854
7.20983,0.99848
7.15102,0.98864
7.09369,0.97900
7.03781,0.96956
6.98334,0.96032
